"age1","agecat","age"
0,0,"0-4"
1,0,"0-4"
2,0,"0-4"
3,0,"0-4"
4,0,"0-4"
5,5,"5-9"
6,5,"5-9"
7,5,"5-9"
8,5,"5-9"
9,5,"5-9"
10,10,"10-14"
11,10,"10-14"
12,10,"10-14"
13,10,"10-14"
14,10,"10-14"
15,15,"15-19"
16,15,"15-19"
17,15,"15-19"
18,15,"15-19"
19,15,"15-19"
20,20,"20-24"
21,20,"20-24"
22,20,"20-24"
23,20,"20-24"
24,20,"20-24"
25,25,"25-29"
26,25,"25-29"
27,25,"25-29"
28,25,"25-29"
29,25,"25-29"
30,30,"30-34"
31,30,"30-34"
32,30,"30-34"
33,30,"30-34"
34,30,"30-34"
35,35,"35-39"
36,35,"35-39"
37,35,"35-39"
38,35,"35-39"
39,35,"35-39"
40,40,"40-44"
41,40,"40-44"
42,40,"40-44"
43,40,"40-44"
44,40,"40-44"
45,45,"45-49"
46,45,"45-49"
47,45,"45-49"
48,45,"45-49"
49,45,"45-49"
50,50,"50-54"
51,50,"50-54"
52,50,"50-54"
53,50,"50-54"
54,50,"50-54"
55,55,"55-59"
56,55,"55-59"
57,55,"55-59"
58,55,"55-59"
59,55,"55-59"
60,60,"60-64"
61,60,"60-64"
62,60,"60-64"
63,60,"60-64"
64,60,"60-64"
65,65,"65-69"
66,65,"65-69"
67,65,"65-69"
68,65,"65-69"
69,65,"65-69"
70,70,"70-74"
71,70,"70-74"
72,70,"70-74"
73,70,"70-74"
74,70,"70-74"
75,75,"75-79"
76,75,"75-79"
77,75,"75-79"
78,75,"75-79"
79,75,"75-79"
80,80,"80-84"
81,80,"80-84"
82,80,"80-84"
83,80,"80-84"
84,80,"80-84"
85,85,"85-89"
86,85,"85-89"
87,85,"85-89"
88,85,"85-89"
89,85,"85-89"
90,90,"90-94"
91,90,"90-94"
92,90,"90-94"
93,90,"90-94"
94,90,"90-94"
95,95,"95-99"
96,95,"95-99"
97,95,"95-99"
98,95,"95-99"
99,95,"95-99"
100,100,"100+"
